entity,time,extreme_temperature,stock_revenue,company_size,company_age,company_distance_to_sea,rain_amount,dry_amount,windy,company_latitude,is_high_tech,is_near_sea,local_climate_variability,stock_revenue_another_measure_method,industry
0,0,-0.123974558,-1.448781738,-1.474598778,-0.159450483,0.947928094,0.506683309,0.801356238,-0.315729178,0.016415075,1,1,1.398821302,-1.450871474,7
0,1,-0.102296004,2.075926249,1.035755395,2.716492942,-1.44576557,0.167143083,0.6610898,-0.04977224,-0.15024061,1,1,0.530999451,2.3962834,7
0,2,0.325889311,-0.826583581,0.787828898,-0.560890956,-0.041847992,2.345480317,0.635178762,0.494954968,-0.446008928,1,1,0.579688341,-0.142339075,7
0,3,0.433062457,-1.148484424,1.574476721,0.083522499,-1.265415788,-1.24863479,1.873845266,-0.267619457,-0.523630853,1,1,-0.457072608,-1.218292354,7
0,4,-0.540377281,-0.24270312,1.048014768,1.079956816,-0.101687973,0.464323282,1.582368773,0.702379197,0.353971598,1,1,0.03169366,-0.248085097,7
0,5,0.745111724,0.809117177,0.103331291,-0.662101066,0.531092081,2.114095718,0.228820694,1.224739266,0.497458473,1,1,0.330454941,0.857521946,7
0,6,-0.06066303,0.72916461,-0.773342365,-1.528265238,1.100179651,1.864694918,-0.552106511,-0.552304132,0.191432818,1,1,-0.796152819,-0.375009649,7
0,7,0.75234884,-0.644742242,-1.321983573,2.202524861,0.859507162,0.895185973,0.594460256,-0.420372796,-1.554268533,1,1,1.284254258,-0.652155161,7
0,8,-0.144315776,1.244944771,-0.559847423,-1.03098232,0.989232957,1.253467039,-1.712643253,0.574849617,0.446134229,1,1,-0.446114789,1.368813997,7
0,9,-0.050700224,0.999963387,-0.720748277,-0.943374807,-0.240177746,0.233122936,0.34383372,1.37045854,1.094803781,1,1,-0.404271902,1.447487757,7
1,0,-1.127877445,0.159221629,-1.831711047,-0.818324775,0.950383912,2.70813628,0.053038387,-1.504141547,-0.61239069,1,1,-2.645373951,0.189024192,2
1,1,-1.441422272,-1.807749042,-0.967118502,0.113885807,-0.511820172,-1.832528762,0.279560066,0.654394488,-1.310364048,1,1,-2.200690002,-1.098265098,2
1,2,-0.751074963,0.053404561,0.249737846,-0.61043702,-0.932085321,-0.667976508,-0.459916624,-0.018920775,-0.102818149,1,1,-0.3619978,0.366219304,2
1,3,-0.176786967,1.138539791,-0.062993962,1.399642857,-1.18886077,-0.243041004,0.091110294,-2.199474439,-1.525141066,1,1,-0.14649112,1.110626619,2
1,4,-1.805157243,-1.36295574,0.80758531,-2.146054794,0.640696259,0.602754053,-1.587531573,1.223902735,-0.95732028,1,1,-2.70463485,-0.83704198,2
1,5,-0.66364194,0.180638281,-0.848562668,-0.962031076,0.409140923,-1.269364165,0.784889111,-0.00492625,-2.115109392,1,1,-0.649716557,-0.09460179,2
1,6,-1.253197299,-0.990880757,-0.156861596,1.522323945,0.247866204,-0.688217357,-0.557472137,-0.072341964,-0.077455051,1,1,-0.367689542,-0.757407238,2
1,7,-0.645578208,-0.154897548,0.132495001,-0.744472752,-0.690814814,1.060308971,2.055395119,-0.329357402,0.462991056,1,1,-1.096654201,0.141705557,2
1,8,-1.3436389,-1.507464849,-0.291387085,0.894188876,-0.766780137,0.419798719,-1.41061963,-1.122026219,-1.095296046,1,1,-1.119021281,-1.103908422,2
1,9,-1.106889932,-0.587898914,-0.422054695,-1.766068766,-1.234913352,-0.36232184,0.249733551,0.659760248,0.198080189,1,1,-0.785183952,-0.866570799,2
2,0,-0.116432458,-0.266156203,-1.743942871,1.136787112,1.267190614,-0.641913467,-0.474343124,-1.451322708,0.235419602,1,0,-0.823325049,-0.241076369,5
2,1,-1.098000507,-0.421491663,-0.171716869,1.082424097,0.903648433,0.36114946,-0.43946573,1.220986184,-1.098631052,1,0,-1.425712516,-0.473684529,5
2,2,0.265352831,-1.13755781,-0.439814834,0.042632293,0.986226991,-0.493061992,-0.410376396,0.45741957,-0.484259189,1,0,-0.51912551,-0.891901333,5
2,3,0.445589707,1.237272775,-0.502326597,0.077478454,-1.170147834,-0.136103571,-0.742220466,-2.286013347,-0.433086127,1,0,0.244889354,0.550996096,5
2,4,-1.105547785,-0.87659704,-0.821982884,1.112944267,-1.85429803,-0.901475654,-1.01231129,-0.123554755,-1.311936816,1,0,-1.670292556,-0.260077657,5
2,5,0.346222975,-0.947808502,-1.283296773,0.292564239,-0.078468577,-0.762452802,-1.272413857,-1.090240675,-0.405019646,1,0,0.641023355,-1.120395101,5
2,6,-0.203925128,-0.464708296,-1.719048371,-0.152203675,1.486391914,0.736426133,0.58548129,-0.504514387,-0.741634466,1,0,-0.135950501,-0.64077747,5
2,7,-0.132014518,-0.347743107,1.006540264,0.50693143,-2.115710316,-0.838036074,0.003640483,0.723294425,-0.761131539,1,0,0.723605664,0.057068125,5
2,8,-0.129009755,-0.011114419,-1.33712229,0.40171184,0.1069827,2.01962799,0.542834017,-1.275193784,-0.858248909,1,0,-0.687932622,0.092131316,5
2,9,-0.428801645,-0.041575171,0.249587352,0.945325794,1.030388551,0.529243342,-0.669574758,-0.453241157,-1.292892745,1,0,-0.590911365,0.05155209,5
3,0,-0.650186046,-0.775231229,0.958815959,-0.23787175,-0.276626835,0.419026036,0.437961305,-0.315418634,-0.339871288,0,0,-1.825390212,-0.290205072,6
3,1,-1.195633739,0.046955873,-0.740908805,0.327622443,-0.706272008,-0.024370243,-0.306843676,0.127321899,-1.1038132,0,0,-1.093235109,0.08976828,6
3,2,0.037259286,-0.617784282,0.969882262,-0.49343547,-1.031174925,-0.322422232,-0.887431542,0.738830887,-0.117846161,0,0,0.723407615,-0.956015756,6
3,3,0.560508443,1.205697612,0.548833493,-0.411331875,-1.680377206,0.047179363,-1.292011201,-1.102957312,-0.359219631,0,0,0.046735107,0.849850809,6
3,4,-0.979944135,-0.417008327,-0.991967198,0.298119348,0.411162231,1.871853309,0.248070479,0.156890151,-0.980246713,0,0,-0.70858127,0.094076321,6
3,5,-0.236441085,-0.912836174,-0.34134966,-0.739306554,0.103410195,-0.889754738,-1.613603857,-0.490123689,-1.02277938,0,0,0.614731549,-0.996458869,6
3,6,-0.640712784,-0.548381132,0.743272422,1.170583875,-0.14712232,-0.520932875,-0.049513886,-0.173733266,-0.322100301,0,0,-1.228736775,-0.364157915,6
3,7,0.383908079,1.67473409,-0.14910016,-0.46741333,0.406604737,0.302681956,0.066085819,0.571977997,2.142936928,0,0,0.134367942,1.456414169,6
3,8,-0.38467454,-0.110884489,-0.115599843,-0.130551127,-0.1586485,0.126893716,-0.907635721,0.204001713,0.382976477,0,0,-1.534088497,0.188158347,6
3,9,-0.509188538,-1.120761636,0.500117391,-0.028771552,0.291238416,-0.615716077,1.006464679,1.544382539,-0.057202298,0,0,-0.28958266,-1.087607118,6
4,0,0.915590987,-0.594176179,-0.210992726,0.313936468,-0.674940348,0.021896983,0.108549563,1.577314613,0.73842958,1,0,1.777744931,-0.407199577,1
4,1,0.347017188,-0.870713103,0.056488199,0.388158606,-1.506200166,-1.557128819,-0.170249934,0.824059437,-0.049767077,1,0,1.369415627,-0.800471351,1
4,2,1.412656629,0.564450629,-0.181747347,-0.282849672,1.18256987,1.05191238,0.32969024,1.069351925,0.185205899,1,0,1.83828745,0.88225057,1
4,3,1.146388215,-0.346924574,-1.362487531,-0.608148407,-0.654203327,2.111261851,0.070332751,-0.232554348,0.595409963,1,0,0.12539431,-0.095383591,1
4,4,0.200368991,-1.424639835,-0.978061865,-0.865375989,0.287879514,-0.125707459,-0.114596961,-0.234244881,0.111687628,1,0,-0.034365421,-0.71130801,1
4,5,1.216583615,-1.715193521,-1.083892474,0.945530292,-0.376164045,-1.684212048,-0.654849418,0.234578145,0.148200285,1,0,1.366127905,-2.033145671,1
4,6,0.551598429,-0.148930446,-0.746620691,0.911102163,0.105586364,-0.811187904,-0.99690366,2.021623608,0.180395031,1,0,2.501802608,-0.151615004,1
4,7,1.250961206,1.382834842,-0.235768174,-0.220444164,1.376071647,-1.324405725,-0.692655159,0.016103297,0.243312356,1,0,1.761048829,1.17297622,1
4,8,0.673711025,-0.638691082,0.426867478,-2.292481451,-1.055922616,1.053039273,1.556182303,-1.479925635,0.813725519,1,0,0.399795474,-0.30396264,1
4,9,0.456692526,0.091794397,1.782455749,-1.186162696,-1.428106746,0.206416039,0.294143657,-0.423976027,0.354268757,1,0,-0.645063609,0.571976479,1
5,0,0.690559933,-0.021197231,0.850399548,-1.052574991,-1.469017675,1.4681253,0.180117081,-1.688614639,-0.516072701,1,1,1.405124057,0.459997057,5
5,1,0.254689678,-0.506952828,1.310513028,-0.523742163,2.042081983,0.249069405,0.591834897,-0.74485535,-0.815295967,1,1,0.359801995,-0.219803451,5
5,2,1.078381503,0.194493537,-0.421237859,0.844454389,-1.412093823,-0.901387535,-0.259616415,-1.046186726,1.779311874,1,1,0.728595144,-0.036891274,5
5,3,1.318807101,2.30109542,-0.683629527,1.461579625,-1.652998952,-0.333210731,0.732732678,2.066096288,0.836295042,1,1,1.870182796,2.386935535,5
5,4,0.145750021,-0.53439469,1.104684579,0.02028581,1.140567653,-0.531414633,0.750847165,1.138818916,-0.627064655,1,1,0.106847526,-0.417052708,5
5,5,1.102292594,-1.121014308,-0.589418817,-0.453963525,0.841339952,0.581096498,0.581289786,0.493470332,1.371502641,1,1,1.840162001,-1.066464588,5
5,6,1.03286122,0.105026975,1.538652874,2.286938248,0.96279232,-1.457128034,-0.516577869,1.082395754,1.825371454,1,1,0.442224643,0.275886372,5
5,7,1.377551453,-0.756707816,0.061614914,-1.835676848,1.340967187,1.373708538,-0.307883526,-0.183319266,2.286831759,1,1,2.762103174,-0.89502615,5
5,8,1.040426757,0.920714917,-0.679448062,0.924474348,1.366979977,-1.319369942,-1.279456172,0.545859367,1.9845035,1,1,0.877544384,0.608535006,5
5,9,0.660023016,0.847407201,0.387637846,-0.459718159,0.202910883,-0.552494727,0.725106957,-0.056621115,0.871545101,1,1,0.177044566,0.849918109,5
6,0,0.702956665,0.855223193,-0.709610718,0.8317832,0.412279381,1.26187754,-0.086444274,-0.038308197,0.901228184,1,0,0.738994336,0.436616431,5
6,1,-0.440864824,1.646104297,-0.479336069,-1.41255471,1.574773162,0.288582744,0.303668103,2.057742875,0.968133672,1,0,-0.254310706,1.514169848,5
6,2,0.587697968,-0.759166177,0.644206652,0.191921062,-0.814630291,1.684848744,0.981121716,0.839778556,-0.402727431,1,0,0.15211194,-0.128153798,5
6,3,0.898854204,2.778323294,-0.949886981,-0.676354385,0.850913373,0.37817869,1.947565654,0.569001236,-0.152774777,1,0,1.70581797,2.980587358,5
6,4,-0.491505593,0.51472554,-0.354062998,0.090271311,0.244312773,1.557718493,-1.113611301,-1.867007872,-0.300445819,1,0,-1.153154967,-0.246329108,5
6,5,0.712076827,-0.191704748,-0.210674832,0.246191557,0.903559918,0.253216277,0.765550014,-0.468521355,1.805530633,1,0,1.18671886,-0.310191859,5
6,6,0.248419821,-1.449192738,0.264085192,-1.720816955,-1.656060916,-1.901787511,-0.208940649,-0.529961487,-0.737959553,1,0,1.95367699,-1.919934357,5
6,7,0.914687408,0.287016115,-0.460447208,-0.96166699,0.045327674,1.080820353,-1.07241599,-0.173610801,1.209658695,1,0,1.714831067,0.58235676,5
6,8,0.494224137,1.880885069,-1.339890115,1.613567338,-0.747278368,-1.095983938,-2.053909678,0.053048972,0.336578721,1,0,1.055178748,1.706182982,5
6,9,0.389485866,1.360828228,0.551869704,-1.211193048,0.602943073,0.899788117,-0.009114416,-1.051609302,-0.767840495,1,0,-0.768875523,1.089440332,5
7,0,-0.700086139,-0.226791303,-1.42279242,-0.210558498,-0.237671942,0.117491371,0.399512214,0.908216495,0.174176897,1,1,-1.629527796,-0.335447619,7
